Please note: You can only download a maximum of 500 vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lot No,Location,Event date,Event type,Simulcast vehicle?,Manufacturer,Model,Derivative,Reg Date,Reg No.,Engine,Body,Colour (Trim),Odometer,Odometer unit,Odometer warranted,Fuel,Trans,VAT,V5,Vehicle Grade,MOT Expiry,Number of Keepers,Services,Date of last Service (odometer),Vendor,Buy Now Price,CAP Clean,CAP Average,MMP,MMP Av.,MMP Av.,Glass Trade,Specification
1206,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,2.0 TDI 140 SPORTLINE 5DR DSG,07/04/2011,LD11AAY,2.0L,5 Door ESTATE,GREY(CREAM),"46,987",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",4,03/12/2016,2,5,01/12/2015,Windrush Volkswagen,-,"œ6,950","œ6,500",?,?,?,?,"Air Conditioning, Electric Sun Roof, Front Parking Sensors, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Sat Nav Functioning"
2250,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,1.9 TDI TDV S LINE 4DR,27/07/2007,RY07UZK,1.9L,4 Door SALOON,BLACK(BLACK),"63,035",Miles,,Diesel,Manual,Margin,"Yes, with Manheim",2,01/08/2017,2,5,03/04/2014,Perrys,-,"œ4,150","œ3,850",?,?,?,?,"Auto Climate Control, Dual Zone Climate, Radio CD, Traction Control"
1038,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,M CLASS,ML320 CDI SPORT 5DR TIP AUTO,18/10/2007,X777EWA,3.0L,5 Door STATION WA,BLACK,"95,623",Miles,,Diesel,Semi-automatic,Margin,"Yes, with Manheim",,03/12/2016,4,,,Group 1,-,"œ7,650","œ7,125",?,?,?,"œ8,025",
,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,TOUAREG,3.0 V6 TDI 240 SE 5DR TIP AUTO,21/07/2012,RF12GRZ,3.0L,5 Door ESTATE,BLACK(BLACK),"48,672",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",2,21/07/2017,1,1,14/07/2015,Group 1,-,"œ17,850","œ17,050","œ20,267",3,"43,508","œ17,050","Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Aux In, Bluetooth, Cruise Control, DAB, Front Parking Sensors, Heated Seats, Ipod Connectivity, Leather Trim, Media Connectivity, Privacy Glass, Park Assist, Radio CD, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
1002,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,X3,2.0D SE 5DR,25/01/2007,GL56TLN,2.0L,5 Door ESTATE,BLACK(BLACK),"70,471",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,24/11/2017,2,6,08/04/2016,Group 1,-,"œ5,075","œ4,700",?,?,?,"œ5,475","6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Bluetooth, Cruise Control, DAB, Front Parking Sensors, Privacy Glass, Park Assist, Radio CD, Rear Parking Sensors"
1132,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C180 CLASSIC 4DR AUTO [5],22/09/1998,S623ENM,1.8L,4 Door SALOON,WHITE(GREY),"106,371",Miles,w,Petrol,Automatic,Margin,"Yes, with Manheim",Unclassified,03/02/2017,2,11,12/04/2012,Sandown Mercedes-Benz,-,œ180,œ50,?,?,?,œ225,
1124,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A6,S6 QUATTRO 4DR TIP AUTO,04/10/2002,EK52CCF,4.2L,4 Door SALOON,BLACK(GREY),"125,443",Miles,w,Petrol,Semi-automatic,Margin,"Yes, with Manheim",4,09/10/2017,5,8,22/01/2014,Sandown Mercedes-Benz,-,"œ1,200","œ1,000",?,?,?,?,"Auto Climate Control, Dual Zone Climate, Front Parking Sensors, Heated Front Screen, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Sat Nav Inoperative, Traction Control"
2235,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,PASSAT,1.9 SE TDI 4DR,26/03/2008,MA08VEK,1.9L,4 Door SALOON,SILVER(BLACK),"70,860",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,14/04/2017,3,5,13/04/2016,Perrys,-,"œ2,600","œ2,350",?,?,?,"œ2,375","Air Conditioning, Cruise Control, Front Parking Sensors, Radio CD, Rear Parking Sensors, Traction Control"
1133,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C220 CDI SPORT 4DR AUTO,01/03/2008,SF08WLU,2.1L,4 Door SALOON,SILVER(BLACK),"71,381",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",4,13/04/2017,3,6,11/04/2016,Sandown Mercedes-Benz,-,"œ7,175","œ6,750",?,?,?,"œ6,625","Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Bluetooth, Cruise Control, DAB, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Traction Control"
1140,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,S CLASS,S320L CDI 4DR AUTO,21/07/2009,KR09KNY,3.0L,4 Door SALOON,SILVER,"75,295",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",,23/07/2017,4,7,03/03/2016,Sandown Mercedes-Benz,-,"œ10,300","œ9,625",?,?,?,"œ9,300",
2068,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,X5,3.0I SPORT 5DR AUTO,15/01/2004,FB53EGU,3.0L,5 Door ESTATE,BLACK(Black),"84,773",Miles,w,Petrol,Semi-automatic,Margin,"Yes, with Manheim",2,23/06/2017,3,6,01/11/2013,Money 4 Your Motors LTD,-,"œ3,925","œ3,600",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Bluetooth, Cruise Control, DAB, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Privacy Glass, Radio CD, Rear Parking Sensors, Sat Nav Functioning"
1215,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.6 MATCH 5DR,23/06/2003,AD03TFY,1.6L,5 Door HATCHBACK,GREEN(BLACK),"73,132",Miles,,Petrol,Manual,Margin,"Yes, with Manheim",1,09/10/2017,2,5,05/10/2015,Windrush Volkswagen,-,œ580,œ410,?,?,?,œ800,"Air Conditioning, Radio CD"
1021,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,330 CI SPORT 2DR AUTO,22/12/2004,HN54FFK,3.0L,2 Door CONVERTIBL,GREY,"86,890",Miles,,Petrol,Automatic,Margin,"Yes, with Manheim",,06/01/2017,6,8,26/10/2015,Group 1,-,"œ2,725","œ2,475",?,?,?,?,
1019,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,325I SPORT 4DR AUTO,21/09/2004,LN54WKD,2.5L,4 Door SALOON,BLUE(BEIGE),"150,987",Miles,,Petrol,Automatic,Margin,"Yes, with Manheim",4,18/04/2017,6,3,17/11/2009,Group 1,-,œ840,œ670,?,?,?,?,"Air Conditioning, Auto Climate Control, Heated Front Screen, Leather Trim, Radio CD, Rear Parking Sensors, Traction Control"
,Mansfield,02/12/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320D SE 4DR,29/03/2006,RV06JYC,2.0L,4 Door SALOON,BLACK,"111,017",Miles,w,Diesel,Manual,Margin,No,,,6,,,Marshall Motor Group,-,"œ2,925","œ2,650",?,?,?,"œ2,600",
1139,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C220 CDI SPORT 4DR AUTO,14/05/2009,KP09RUO,2.1L,4 Door SALOON,SILVER(Grey),"335,629",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",2,03/02/2017,2,,,Sandown Mercedes-Benz,-,"œ3,975","œ3,700",?,?,?,"œ2,375","Air Conditioning, Auto Climate Control, Automatic Lights, Bluetooth, Cruise Control, DAB, Dual Zone Climate, Heated Seats, Leather Trim, Privacy Glass, Radio CD, Sat Nav Functioning"
1138,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C250 CDI BLUEEFFICIENCY SPORT,19/07/2011,KR11ZPY,2.1L,4 Door SALOON,RED(BLACK),"67,624",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",1,10/12/2016,4,2,01/06/2016,Sandown Mercedes-Benz,-,"œ10,150","œ9,525",?,?,?,"œ9,525","Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Bluetooth, Cruise Control, DAB, Dual Zone Climate, Front Parking Sensors, Media Connectivity, Radio CD, Rear Parking Sensors"
373,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,PASSAT,2.0 HIGHLINE TDI CR DPF 5DR,18/11/2009,YC59UHH,2.0L,5 Door ESTATE,BLACK(BLACK),"105,054",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,06/10/2017,1,6,04/11/2014,Mill Group Direct,-,"œ3,175","œ2,900",?,?,?,?,"Cruise Control, Front Parking Sensors, Heated Seats, Leather Trim, Radio CD, Rear Parking Sensors, Traction Control"
,Mansfield,02/12/2016,"Physical Auction,Simulcast",Yes,HONDA,ACCORD,1.8IVTEC SPORT 5DR,07/08/2002,RD02LCE,1.8L,5 Door HATCHBACK,SILVER,"100,866",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",,18/07/2017,4,4,21/05/2013,Marshall Motor Group,-,œ280,œ130,?,?,?,œ325,
1203,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,2.0 TDI 140 GT 5DR,13/10/2010,FG60BUF,2.0L,5 Door HATCHBACK,BLACK(BLACK),"84,983",Miles,,Diesel,Manual,Margin,"Yes, with Manheim",3,13/10/2017,3,3,14/04/2016,Windrush Volkswagen,-,"œ5,650","œ5,275",?,?,?,"œ5,550","6 Speed, Air Conditioning, Privacy Glass, Radio CD"
607,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,1.9 TDI 130 SE [6] 4DR,24/06/2004,VA04NSN,1.9L,4 Door SALOON,SILVER(BLACK),"178,138",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",Unclassified,07/07/2017,2,5,23/05/2012,Arbury,-,œ830,œ660,?,?,?,œ825,"6 Speed, Auto Climate Control, Radio CD"
,Mansfield,02/12/2016,"Physical Auction,Simulcast",Yes,BMW,5 SERIES,528I SE 4DR AUTO,20/11/1998,S870KKO,2.8L,4 Door SALOON,BLUE,"260,000",Miles,w,Petrol,Automatic,Margin,No,,,2,,,Marshall Motor Group,-,œ210,œ50,?,?,?,œ525,
508,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CIVIC,1.6 VTEC EXECUTIVE 5DR,13/01/2004,OW53NAA,1.6L,5 Door HATCHBACK,GREY(BLACK),"108,309",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,13/01/2017,3,6,05/05/2010,Arnold Clark,-,œ650,œ470,?,?,?,œ650,"Air Conditioning, Auto Climate Control, Heated Seats, Leather Trim, Radio CD, Sunroof"
1293,Leeds,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,TOUAREG,3.0 V6 TDI 245 SE 5DR TIP AUTO,01/09/2011,HH07PMH,3.0L,5 Door ESTATE,Grey(Black),"108,875",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",2,12/09/2017,2,4,21/04/2015,Money 4 Your Motors LTD,-,"œ13,500","œ12,850",?,?,?,"œ11,600","Air Conditioning, Automatic Lights, Cruise Control, DAB, Dual Zone Climate, Front Parking Sensors, Heated Seats, Leather Trim, Privacy Glass, Rear Parking Sensors, Sat Nav Functioning, Traction Control"
485,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,2.0 S SDI 5DR,11/02/2005,YB54OYU,2.0L,5 Door HATCHBACK,BLUE(Grey),"91,060",Miles,w,Diesel,Manual,Margin,No,4,16/06/2017,2,5,07/06/2012,Arnold Clark,-,"œ1,250","œ1,050",?,?,?,?,Radio CD
494,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.9 GT TDI 150 3DR,26/04/2002,YS02VCZ,1.9L,3 Door HATCHBACK,GREEN(Black),"185,701",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,09/12/2016,3,10,30/12/2006,Arnold Clark,-,œ480,œ300,?,?,?,œ400,"Air Conditioning, Radio CD"
466,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,RANGE ROVER,3.0 TD6 VOGUE SE 4DR AUTO,01/11/2004,PJ54FAM,2.9L,4 Door ESTATE,SILVER(BLACK),"116,738",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",5,01/07/2017,6,,,Arnold Clark,-,"œ6,125","œ5,675",?,?,?,?,
551,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,318D ES 4DR,24/03/2011,PN11ZHP,2.0L,4 Door SALOON,BLUE(BLACK),"117,197",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,16/08/2017,3,6,05/08/2016,Arnold Clark,-,"œ4,425","œ4,125",?,?,?,?,"Air Conditioning, Aux In, Radio CD, Traction Control"
524,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,2.0 GTI 5DR,29/04/2003,RJ03XYS,2.0L,5 Door HATCHBACK,SILVER(BLACK),"76,556",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,07/09/2017,2,3,26/06/2009,Arnold Clark,-,œ480,œ300,?,?,?,œ725,
470,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.6 TDI 105 S 5DR,05/09/2011,FX61ZYV,1.6L,5 Door HATCHBACK,BLACK(BLACK),"92,698",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,17/09/2017,2,6,25/07/2016,Arnold Clark,-,"œ4,400","œ4,050",?,?,?,?,"Air Conditioning, Radio CD"
313,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,318I SE 4DR,11/03/2002,SJ02SFK,2.0L,4 Door SALOON,BLUE(GREY),"87,695",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,21/01/2017,4,7,22/01/2014,Arnold Clark,-,œ620,œ440,?,?,?,?,"Air Conditioning, Radio CD"
323,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,323 CI 2DR,01/06/2000,W215DWT,2.5L,2 Door CONVERTIBL,SILVER(GREY),"95,052",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",5,27/07/2017,4,5,01/05/2009,Davidsons of Morpeth Vauxhall,-,"œ1,275","œ1,075",?,?,?,?,"Air Conditioning, Cruise Control"
,Mansfield,02/12/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,DISCOVERY,2.7 TD V6 S 5DR AUTO,01/03/2005,AV05FZF,2.7L,5 Door STATION WA,GREEN,"150,000",Miles,w,Diesel,Automatic,Margin,No,,,5,,,Marshall Motor Group,-,"œ4,150","œ3,825",?,?,?,"œ3,575",
,Mansfield,02/12/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,DISCOVERY,3.0 TDV6 HSE 5DR AUTO,26/03/2011,FL11OFA,3.0L,5 Door STATION WA,BLACK,"90,000",Miles,w,Diesel,Automatic,Margin,No,,,2,,,Marshall Motor Group,-,"œ18,900","œ18,050",?,?,?,?,
,Mansfield,02/12/2016,"Physical Auction,Simulcast",Yes,LAND ROVER,DISCOVERY,3.0 SDV6 255 XS 5DR AUTO,02/03/2012,MV12OBA,3.0L,5 Door STATION WA,GREY,"95,228",Miles,w,Diesel,Automatic,Margin,No,,,2,,,Marshall Motor Group,-,"œ18,500","œ17,700",?,?,?,"œ17,800",
2211,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CR-V,2.2 TDI SPORT 5DR,07/02/2005,RN54ZZR,2.2L,5 Door ESTATE,GREY(MULTI-COLOURED),"110,999",Miles,,Diesel,Manual,Margin,"Yes, with Manheim",4,07/02/2017,3,9,03/02/2016,Perrys,-,"œ2,025","œ1,775",?,?,?,"œ1,975","6 Speed, Air Conditioning, Auto Climate Control, Cruise Control, DAB, Electric Sun Roof, Privacy Glass, Radio CD, Rear Parking Sensors"
489,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320I M SPORT 2DR,01/11/2007,OIG1509,2.0L,2 Door COUPE,BLUE(BLACK),"91,090",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,13/09/2017,3,4,24/10/2015,,-,"œ5,025","œ4,650",?,?,?,?,"6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Dual Zone Climate, Leather Trim, Radio CD"
812,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,TOYOTA,HILUX DIESEL,INVINCIBLE 2010 D/CAB PICKUP 3,29/07/2011,YS11TBO,3.0L,4 Door PICK UP BODY,BLACK(Grey),"73,066",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,12/08/2017,2,,,,-,"œ10,650","œ9,525",?,?,?,?,"Airbag - Driver, Air Conditioning, Alloy Wheels, Cruise Control, Electric Mirrors, Electric Windows, Airbag - Passenger, Pick up - body load cover, Seats - Fabric/All, Traction Control, Towbar"
842,Mansfield,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,SPRINTER 313CDI LONG DIESEL,3.5T HIGH ROOF VAN,01/07/2013,FH13EVL,2.1L,5 Door PANEL VAN,WHITE(Black),"76,470",Miles,w,Diesel,Manual,Commercial,"Yes, with Manheim",,30/06/2017,1,10,08/11/2016,Commercial Veh Solutions LTD,-,"œ9,000","œ8,325",?,?,?,?,"Airbag - Driver, Cruise Control, Electric Windows, High security Locks, Ply Lining, Radio CD, Seats - Fabric/All, Door - Nearside Sliding Loading Door, Traction Control"
371,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,CR-V,2.2 DTEC EX 5DR AUTO,31/10/2011,NV61CCK,2.2L,5 Door ESTATE,BRONZE(BLACK),"60,137",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",3,02/10/2017,2,4,02/02/2016,Mill Group Direct,-,"œ10,750","œ10,100",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Cruise Control, Dual Zone Climate, Electric Sun Roof, Heated Seats, Leather Trim, Radio CD, Sat Nav Functioning"
345,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.4 MATCH 3DR,30/01/2004,NY53TVZ,1.4L,3 Door HATCHBACK,SILVER(BLACK),"69,924",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",4,29/12/2016,2,9,19/07/2016,Lookers Group,-,œ610,œ440,?,?,?,?,"Radio CD, Air Conditioning"
343,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.9 GT TDI 150 5DR,29/09/2003,YE53LDL,1.9L,5 Door HATCHBACK,SILVER(BLACK),"129,637",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",5,27/08/2017,4,3,15/08/2013,Lookers Group,-,œ780,œ620,?,?,?,?,"6 Speed, Air Conditioning, Auto Climate Control, Radio CD, Traction Control"
353,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,E CLASS,E250 CDI BLUEEFFICIENCY AVANTG,01/10/2009,EN59ENA,2.1L,4 Door SALOON,BROWN(BEIGE),"94,423",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,17/03/2017,3,5,09/11/2016,Lookers Group,-,"œ7,375","œ6,900",?,?,?,?,"6 Speed, Air Conditioning, Auto Climate Control, Automatic Lights, Cruise Control, Dual Zone Climate, Heated Seats, Leather Trim, Radio CD, Sat Nav Functioning"
2071,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,HONDA,ACCORD,2.2 DTEC ES 4DR,29/10/2010,DE60DXR,2.2L,4 Door SALOON,RED(Black),"69,387",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",5,06/01/2017,4,5,07/01/2016,Money 4 Your Motors LTD,-,"œ6,100","œ5,725",?,?,?,"œ5,075","6 Speed, Air Conditioning, Radio CD"
583,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,TOYOTA,PRIUS,1.8 VVTI PLUG-IN 5DR CVT AUTO,26/07/2012,PJ12LMX,1.8L,5 Door HATCHBACK,WHITE(Black),"52,247",Miles,w,Petrol,Automatic,Margin,"Yes, with Manheim",2,26/07/2017,2,,,Arnold Clark,-,"œ10,600","œ9,950",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Wipers, Cruise Control, Heated Seats, Radio CD, Rear Parking Sensors, Sat Nav Functioning"
2051,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,X5,SPORT 5DR AUTO,03/09/2005,PO55XZE,3.0L,5 Door ESTATE,GREY(BLACK),"116,328",Miles,,Diesel,Semi-automatic,Margin,No,2,,3,6,15/11/2013,Money 4 Your Motors LTD,-,"œ4,800","œ4,450",?,?,?,"œ4,700","Air Conditioning, Auto Climate Control, Automatic Lights, Automatic Wipers, Cruise Control, Front Parking Sensors, Heated Front Screen, Leather Trim, Privacy Glass, Radio CD, Rear Parking Sensors"
2045,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320I SE 4DR,09/01/2009,LL58EPA,2.0L,4 Door SALOON,SILVER(BLACK),"55,405",Miles,w,Petrol,Manual,Margin,"Yes, with Manheim",2,17/05/2017,3,3,11/08/2014,Money 4 Your Motors LTD,-,"œ5,450","œ5,075",?,?,?,"œ4,650","Air Conditioning, Auto Climate Control, Automatic Wipers, Aux In, Heated Front Screen, Radio CD, Rear Parking Sensors"
537,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,320D SE 4DR,24/05/2007,MT07YBJ,2.0L,4 Door SALOON,BLACK(BLACK),"114,023",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,31/05/2017,3,7,01/06/2015,Arnold Clark,-,"œ3,125","œ2,850","œ5,067",3,"75,775","œ2,875","Air Conditioning, Auto Climate Control, Aux In, Cruise Control, Dual Zone Climate, Radio CD, Traction Control"
563,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,TOYOTA,HILUX DIESEL,270 VX DOUBLE CAB PICK UP 4WD,03/12/2002,YF52XHD,2.5L,4 Door PICK UP BODY,GREEN(Multi-coloured),"100,867",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",,,3,,,Arnold Clark,-,"œ4,575","œ3,575",?,?,?,?,
490,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,PASSAT,2.0 SPORT TDI 4DR,16/09/2005,PX55BBN,2.0L,4 Door SALOON,BLUE(BLACK),"129,199",Miles,,Diesel,Manual,Margin,No,Unclassified,28/05/2017,3,10,23/01/2016,WEBUYCARSFORMORE.COM,-,"œ1,550","œ1,350",?,?,?,?,"6 Speed, Air Conditioning, Automatic Lights, Cruise Control, Dual Zone Climate, Radio CD, Traction Control"
444,Washington,25/11/2016,"Physical Auction,Simulcast",Yes,BMW,3 SERIES,318D SE 5DR,18/03/2011,SG11UYO,2.0L,5 Door ESTATE,BLACK(Black),"96,090",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,25/05/2017,2,4,09/06/2015,Arnold Clark,-,"œ5,750","œ5,350",?,?,?,?,"Air Conditioning, Auto Climate Control, Aux In, Bluetooth, Dual Zone Climate, Privacy Glass, Radio CD, Traction Control, 6 Speed"
1048,Wimbledon,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,Q5,2.0 TDI QUATTRO S LINE 5DR S T,30/10/2009,YC59KWN,2.0L,5 Door ESTATE,SILVER(Black),"86,091",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",2,04/07/2017,4,4,30/05/2014,Group 1,-,"œ18,250","œ17,450",?,?,?,?,"Air Conditioning, Auto Climate Control, Automatic Lights, Aux In, Bluetooth, DAB, Electric Sun Roof, Front Parking Sensors, Heated Seats, Leather Trim, Panoramic Roof, Privacy Glass, Radio CD, Rear Parking Sensors, Sat Nav Functioning"
571,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,VOLKSWAGEN,GOLF,1.9 MATCH TDI 5DR,04/10/2007,AK57MTJ,1.9L,5 Door HATCHBACK,BLACK(Grey),"86,043",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",4,28/07/2017,2,,,Arnold Clark,-,"œ2,625","œ2,375","œ3,639",7,"100,264",?,"Air Conditioning, Radio CD"
,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,MERCEDES-BENZ,C CLASS,C200 CDI CLASSIC SE 4DR AUTO,13/09/2006,PN56RZV,2.1L,4 Door SALOON,SILVER(Black),"187,145",Miles,w,Diesel,Semi-automatic,Margin,"Yes, with Manheim",Unclassified,04/10/2017,5,5,15/09/2010,Arnold Clark,-,"œ1,300","œ1,100",?,?,?,"œ1,100","Air Conditioning, Auto Climate Control, Cruise Control, Dual Zone Climate, Leather Trim, Radio CD, Traction Control"
586,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,AUDI,A4,2.0 TDIE SE TECHNIK 4DR,21/05/2012,CK12ULT,2.0L,4 Door SALOON,WHITE(Grey),"97,927",Miles,w,Diesel,Manual,Margin,"Yes, with Manheim",3,21/05/2017,2,4,20/01/2015,Arnold Clark,-,"œ8,700","œ8,150",?,?,?,?,
584,Birmingham,25/11/2016,"Physical Auction,Simulcast",Yes,MITSUBISHI,SHOGUN,3.2 DD ELEGANCE 5DR AUTO,18/03/2005,CK05CAA,3.2L,5 Door STATION WA,SILVER,"194,165",Miles,w,Diesel,Automatic,Margin,"Yes, with Manheim",,04/08/2017,3,,,Arnold Clark,-,"œ2,075","œ1,850",?,?,?,"œ1,700",
